"date","close","volume","open","high","low"

"2017/05/05","7.2300","22455.0000","7.1400","7.3922","7.0000"
"2017/05/04","7.1400","58491.0000","7.1300","7.4600","6.9900"
"2017/05/03","7.1300","65775.0000","7.2500","7.2500","6.9400"
"2017/05/02","6.8800","106692.0000","7.5000","7.5000","6.8800"
"2017/05/01","7.4500","52070.0000","7.2600","7.4999","7.2600"
"2017/04/28","7.0400","51031.0000","6.7500","7.2299","6.5550"
"2017/04/27","6.6000","141538.0000","6.2300","6.7800","6.2300"
"2017/04/26","6.1100","469803.0000","6.2500","6.6500","6.0200"
"2017/04/25","5.5000","52842.0000","5.6200","5.6816","5.3910"
"2017/04/24","5.5500","47782.0000","5.3800","5.6500","5.3800"
"2017/04/21","5.3600","12548.0000","5.4400","5.4900","5.3200"
"2017/04/20","5.4300","10611.0000","5.3500","5.4800","5.2600"
"2017/04/19","5.3000","7722.0000","5.3400","5.3950","5.3000"
"2017/04/18","5.2800","21584.0000","5.2000","5.3800","5.1900"
"2017/04/17","5.1800","9596.0000","5.2400","5.3500","5.1700"
"2017/04/13","5.2600","12881.0000","5.2200","5.3800","5.2200"
"2017/04/12","5.4100","13911.0000","5.4300","5.5000","5.2500"
"2017/04/11","5.4300","93521.0000","5.4420","5.5000","5.3800"
"2017/04/10","5.4800","38261.0000","5.3200","5.5000","5.2600"
"2017/04/07","5.3500","24365.0000","5.2300","5.4000","5.2300"
"2017/04/06","5.2700","25638.0000","5.1650","5.4150","5.1650"
"2017/04/05","5.2200","17813.0000","5.3000","5.4000","5.2200"
"2017/04/04","5.3700","20362.0000","5.3900","5.5100","5.3000"
"2017/04/03","5.3800","34721.0000","5.5000","5.5000","5.3800"
"2017/03/31","5.5000","16668.0000","5.4900","5.5900","5.4800"
"2017/03/30","5.4700","12280.0000","5.5000","5.5819","5.4600"
"2017/03/29","5.4900","3672.0000","5.4000","5.5000","5.4000"
"2017/03/28","5.3700","30582.0000","5.5600","5.6400","5.3700"
"2017/03/27","5.6000","23748.0000","5.5400","5.6400","5.5000"
"2017/03/24","5.5900","12522.0000","5.6200","5.6200","5.5800"
