"date","close","volume","open","high","low"

"2017/05/05","0.1745","61641.0000","0.1900","0.1900","0.1711"
"2017/05/04","0.1900","17100.0000","0.2000","0.2000","0.1800"
"2017/05/03","0.1800","23380.0000","0.2000","0.2000","0.1800"
"2017/05/02","0.1908","10390.0000","0.2000","0.2000","0.1802"
"2017/05/01","0.1900","96686.0000","0.1790","0.1900","0.1750"
"2017/04/28","0.1750","24849.0000","0.1696","0.1790","0.1641"
"2017/04/27","0.1750","33097.0000","0.1785","0.1785","0.1750"
"2017/04/26","0.1700","48946.0000","0.1700","0.1800","0.1700"
"2017/04/25","0.1700","54134.0000","0.1662","0.1900","0.1662"
"2017/04/24","0.1850","65688.0000","0.1950","0.1950","0.1661"
"2017/04/21","0.1920","98475.0000","0.1800","0.1920","0.1712"
"2017/04/20","0.1700","43923.0000","0.1600","0.1700","0.1600"
"2017/04/19","0.1600","15405.0000","0.1607","0.1700","0.1600"
"2017/04/18","0.1607","12700.0000","0.1604","0.1750","0.1604"
"2017/04/17","0.1650","18911.0000","0.1700","0.1700","0.1600"
"2017/04/13","0.1700","52227.0000","0.1664","0.1700","0.1601"
"2017/04/12","0.1603","67306.0000","0.1699","0.1750","0.1600"
"2017/04/11","0.1640","53582.0000","0.1600","0.1699","0.1600"
"2017/04/10","0.1600","35605.0000","0.1800","0.1800","0.1600"
"2017/04/07","0.1602","25255.0000","0.1700","0.1800","0.1602"
"2017/04/06","0.1700","66111.0000","0.1750","0.1850","0.1601"
"2017/04/05","0.1750","37788.0000","0.1800","0.1800","0.1651"
"2017/04/04","0.1700","58803.0000","0.1630","0.1700","0.1600"
"2017/04/03","0.1650","123204.0000","0.1950","0.1950","0.1600"
"2017/03/31","0.1701","31030.0000","0.1621","0.1958","0.1621"
"2017/03/30","0.1750","204850.0000","0.2000","0.2000","0.1600"
"2017/03/29","0.1900","108445.0000","0.1900","0.1970","0.1801"
"2017/03/28","0.1800","31883.0000","0.1845","0.1900","0.1800"
"2017/03/27","0.1875","35520.0000","0.1875","0.1900","0.1845"
"2017/03/24","0.1850","13211.0000","0.1890","0.1900","0.1850"
"2017/03/23","0.1900","33017.0000","0.1801","0.1950","0.1801"
"2017/03/22","0.1804","57642.0000","0.1900","0.2000","0.1800"
"2017/03/21","0.1900","83117.0000","0.2000","0.2000","0.1850"
"2017/03/20","0.2000","29419.0000","0.2135","0.2135","0.1840"
"2017/03/17","0.2006","3700.0000","0.1950","0.2006","0.1950"
"2017/03/16","0.1901","50064.0000","0.1810","0.2140","0.1810"
"2017/03/15","0.2000","20149.0000","0.2000","0.2145","0.2000"
"2017/03/14","0.2069","57787.0000","0.2185","0.2300","0.1800"
"2017/03/13","0.2051","75232.0000","0.2200","0.2500","0.2051"
"2017/03/10","0.2001","13548.0000","0.2200","0.2200","0.2000"
"2017/03/09","0.1910","25640.0000","0.2200","0.2200","0.1810"
"2017/03/08","0.1950","7270.0000","0.2050","0.2100","0.1810"
"2017/03/07","0.1888","16793.0000","0.2200","0.2200","0.1813"
"2017/03/06","0.1950","139930.0000","0.1610","0.2200","0.1610"
"2017/03/03","0.1980","10058.0000","0.2100","0.2100","0.1980"
"2017/03/02","0.2000","50541.0000","0.2100","0.2100","0.1980"
"2017/03/01","0.2200","23020.0000","0.2000","0.2200","0.2000"
"2017/02/28","0.2100","13278.0000","0.2006","0.2250","0.2006"
"2017/02/27","0.2180","4732.0000","0.2001","0.2199","0.2000"
"2017/02/24","0.2000","22515.0000","0.2200","0.2200","0.1950"
"2017/02/23","0.2125","1700.0000","0.2200","0.2200","0.2125"
"2017/02/22","0.2189","29762.0000","0.2200","0.2200","0.2026"
"2017/02/21","0.2200","30151.0000","0.2021","0.2200","0.2021"
"2017/02/17","0.2021","37011.0000","0.2003","0.2200","0.2002"
"2017/02/16","0.2200","44936.0000","0.2088","0.2200","0.1900"
"2017/02/15","0.2199","22730.0000","0.2047","0.2199","0.2000"
"2017/02/14","0.2095","17798.0000","0.2200","0.2200","0.2000"
"2017/02/13","0.2200","15799.0000","0.2100","0.2200","0.2024"
"2017/02/10","0.2100","4410.0000","0.2200","0.2200","0.2100"
"2017/02/09","0.2050","25329.0000","0.2200","0.2200","0.2027"
"2017/02/08","0.2200","11869.0000","0.2200","0.2200","0.2001"
"2017/02/07","0.2100","8458.0000","0.2100","0.2200","0.2100"
"2017/02/06","0.2100","37236.0000","0.2100","0.2200","0.1951"
"2017/02/03","0.2000","41494.0000","0.2000","0.2150","0.1999"
"2017/02/02","0.1979","35672.0000","0.2050","0.2075","0.1858"
"2017/02/01","0.2000","11443.0000","0.1856","0.2050","0.1856"
"2017/01/31","0.2050","20319.0000","0.1810","0.2050","0.1810"
"2017/01/30","0.2099","64435.0000","0.2065","0.2099","0.1800"
"2017/01/27","0.2100","18766.0000","0.2099","0.2149","0.2030"
"2017/01/26","0.2100","79435.0000","0.2200","0.2200","0.2000"
"2017/01/25","0.2150","200135.0000","0.1905","0.2200","0.1905"
"2017/01/24","0.2001","205540.0000","0.1711","0.2100","0.1711"
"2017/01/23","0.1800","100783.0000","0.1930","0.1930","0.1722"
"2017/01/20","0.1845","72908.0000","0.1898","0.1900","0.1701"
"2017/01/19","0.1899","1887.0000","0.1705","0.1899","0.1705"
"2017/01/18","0.1845","62787.0000","0.1900","0.1900","0.1701"
"2017/01/17","0.1900","99268.0000","0.1900","0.2000","0.1800"
"2017/01/13","0.1862","54526.0000","0.1759","0.2000","0.1759"
"2017/01/12","0.1759","41661.0000","0.1900","0.2000","0.1756"
"2017/01/11","0.1780","70590.0000","0.1601","0.2000","0.1601"
"2017/01/10","0.1701","59263.0000","0.1740","0.1800","0.1670"
"2017/01/09","0.1705","50348.0000","0.2000","0.2000","0.1600"
"2017/01/06","0.1600","3600.0000","0.1600","0.1600","0.1600"
"2017/01/05","0.1600","9891.0000","0.1510","0.1600","0.1510"
"2017/01/04","0.1580","140782.0000","0.1150","0.1700","0.1000"
"2017/01/03","0.1700","56332.0000","0.1500","0.1700","0.1400"
"2016/12/30","0.1375","148733.0000","0.1375","0.1500","0.1375"
"2016/12/29","0.1499","131237.0000","0.1500","0.1600","0.1375"
"2016/12/28","0.1500","120746.0000","0.1400","0.1500","0.1400"
"2016/12/27","0.1500","216773.0000","0.1490","0.1600","0.1400"
"2016/12/23","0.1500","283836.0000","0.2100","0.2100","0.1125"
"2016/12/22","0.2100","136011.0000","0.2300","0.2350","0.2005"
"2016/12/21","0.2200","23535.0000","0.2151","0.2300","0.2151"
"2016/12/20","0.2151","60443.0000","0.2200","0.2300","0.2151"
"2016/12/19","0.2150","85667.0000","0.2400","0.2400","0.2150"
"2016/12/16","0.2150","91000.0000","0.2410","0.2700","0.2150"
"2016/12/15","0.2451","1280.0000","0.2450","0.2451","0.2450"
"2016/12/14","0.2600","47810.0000","0.2500","0.2600","0.2450"
"2016/12/13","0.2450","77402.0000","0.2350","0.2599","0.2350"
"2016/12/12","0.2890","21040.0000","0.2590","0.2890","0.2501"
"2016/12/09","0.2800","12150.0000","0.2950","0.2950","0.2800"
"2016/12/08","0.2665","19084.0000","0.2898","0.2898","0.2600"
"2016/12/07","0.2698","57841.0000","0.2800","0.2800","0.2550"
"2016/12/06","0.2800","37689.0000","0.2800","0.2905","0.2700"
"2016/12/05","0.2700","16774.0000","0.2700","0.2900","0.2700"
"2016/12/02","0.2600","20900.0000","0.2600","0.2600","0.2500"
"2016/12/01","0.2547","14350.0000","0.2400","0.2547","0.2380"
"2016/11/30","0.2400","24721.0000","0.2280","0.2400","0.2150"
"2016/11/29","0.2200","32419.0000","0.2250","0.2250","0.2100"
"2016/11/28","0.2200","32028.0000","0.2390","0.2400","0.2100"
"2016/11/25","0.2005","11018.0000","0.2389","0.2389","0.2005"
"2016/11/23","0.2390","108877.0000","0.2150","0.2400","0.2150"
"2016/11/22","0.2275","182451.0000","0.2699","0.2700","0.2040"
"2016/11/21","0.2625","144304.0000","0.2900","0.3000","0.2250"
"2016/11/18","0.2800","87070.0000","0.2950","0.2950","0.2700"
"2016/11/17","0.2925","58369.0000","0.2800","0.2950","0.2604"
"2016/11/16","0.2799","33713.0000","0.2800","0.2800","0.2700"
"2016/11/15","0.2900","35114.0000","0.2550","0.3000","0.2550"
"2016/11/14","0.3000","56633.0000","0.3200","0.3200","0.2900"
"2016/11/11","0.3000","20545.0000","0.3000","0.3100","0.3000"
"2016/11/10","0.3250","28262.0000","0.3160","0.3600","0.3000"
"2016/11/09","0.3200","6360.0000","0.2900","0.3324","0.2900"
"2016/11/08","0.3200","23905.0000","0.3150","0.3200","0.3010"
"2016/11/07","0.3010","38736.0000","0.2901","0.3324","0.2901"
"2016/11/04","0.2900","16579.0000","0.3000","0.3323","0.2900"
"2016/11/03","0.2900","22955.0000","0.2650","0.3260","0.2650"
"2016/11/02","0.2850","196507.0000","0.3249","0.3453","0.2706"
"2016/11/01","0.3598","24389.0000","0.3550","0.3643","0.3150"
"2016/10/31","0.3654","103924.0000","0.3550","0.3700","0.3291"
"2016/10/28","0.3600","10476.0000","0.3600","0.3750","0.3600"
"2016/10/27","0.3600","101451.0000","0.3580","0.3650","0.3500"
"2016/10/26","0.3550","42653.0000","0.3770","0.3780","0.3550"
"2016/10/25","0.3780","31552.0000","0.3780","0.3900","0.3780"
"2016/10/24","0.3780","122706.0000","0.3900","0.4300","0.3551"
"2016/10/21","0.3800","137670.0000","0.3740","0.4350","0.3500"
"2016/10/20","0.4000","74498.0000","0.4000","0.4000","0.3600"
"2016/10/19","0.3840","19332.0000","0.4000","0.4000","0.3840"
"2016/10/18","0.3800","3223.0000","0.3800","0.4000","0.3800"
"2016/10/17","0.3800","13678.0000","0.3800","0.4190","0.3800"
"2016/10/14","0.3800","20034.0000","0.3900","0.4000","0.3800"
"2016/10/13","0.4000","26072.0000","0.4200","0.4200","0.3900"
"2016/10/12","0.4250","8189.0000","0.4300","0.4350","0.4250"
"2016/10/11","0.4100","31900.0000","0.4400","0.4400","0.4100"
"2016/10/10","0.4400","12300.0000","0.4200","0.4400","0.4200"
"2016/10/07","0.4200","4650.0000","0.4200","0.4200","0.4001"
"2016/10/06","0.4200","21456.0000","0.3805","0.4400","0.3804"
"2016/10/05","0.4100","16308.0000","0.3800","0.4100","0.3800"
"2016/10/04","0.3900","21755.0000","0.4100","0.4100","0.3800"
"2016/10/03","0.4000","52545.0000","0.4112","0.4112","0.3800"
"2016/09/30","0.4112","30549.0000","0.4224","0.4224","0.4000"
"2016/09/29","0.4001","13650.0000","0.4600","0.4600","0.4000"
"2016/09/28","0.4022","18396.0000","0.4000","0.4700","0.4000"
"2016/09/27","0.4000","36550.0000","0.4000","0.4000","0.3800"
"2016/09/26","0.4000","61995.0000","0.3950","0.4050","0.3800"
"2016/09/23","0.4091","21668.0000","0.3900","0.4149","0.3900"
"2016/09/22","0.3900","105546.0000","0.4150","0.4400","0.3900"
"2016/09/21","0.4149","8784.0000","0.4000","0.4149","0.3905"
"2016/09/20","0.3903","21945.0000","0.4000","0.4200","0.3903"
"2016/09/19","0.4000","38325.0000","0.4500","0.4500","0.4000"
"2016/09/16","0.4500","6952.0000","0.4500","0.4500","0.4101"
"2016/09/15","0.4900","36479.0000","0.4299","0.4900","0.3900"
"2016/09/14","0.4001","80449.0000","0.4200","0.4400","0.4000"
"2016/09/13","0.4200","21240.0000","0.4200","0.4499","0.4200"
"2016/09/12","0.4500","35722.0000","0.4700","0.5000","0.4500"
"2016/09/09","0.4899","8325.0000","0.4750","0.4899","0.4749"
"2016/09/08","0.4800","10253.0000","0.4800","0.4800","0.4755"
"2016/09/07","0.5100","36040.0000","0.4750","0.5300","0.4750"
"2016/09/06","0.4700","39321.0000","0.4780","0.4800","0.4700"
"2016/09/02","0.4750","4595.0000","0.4750","0.4750","0.4750"
"2016/09/01","0.5000","36821.0000","0.5000","0.5150","0.5000"
"2016/08/31","0.5000","39768.0000","0.5050","0.5400","0.4700"
