"date","close","volume","open","high","low"

"2017/05/05","34.5400","4045456.0000","34.2000","34.9300","33.5500"
"2017/05/04","34.2400","5842551.0000","34.9000","34.9700","33.8100"
"2017/05/03","33.9100","17578500.0000","32.5000","36.2700","32.1500"
"2017/05/02","30.3200","5618097.0000","29.8000","30.7100","29.4100"
"2017/05/01","29.5500","2902669.0000","29.9900","30.0300","29.2314"
"2017/04/28","29.5500","4188126.0000","29.4500","30.5000","29.2365"
"2017/04/27","29.4400","5508026.0000","29.5100","29.9602","28.3800"
"2017/04/26","28.9900","5849256.0000","27.5200","29.1950","27.4100"
"2017/04/25","27.5400","2464786.0000","27.2800","28.0500","27.0800"
"2017/04/24","27.0800","2514045.0000","27.2800","27.4400","26.7800"
"2017/04/21","26.8000","2033162.0000","26.7100","27.0000","26.6800"
"2017/04/20","26.7400","2494292.0000","26.7500","27.0179","26.4100"
"2017/04/19","26.5400","2093073.0000","27.0500","27.2700","26.5100"
"2017/04/18","26.8900","2132234.0000","27.1100","27.2700","26.7108"
"2017/04/17","27.3400","1812204.0000","27.4200","27.6500","27.0000"
"2017/04/13","27.4200","2424372.0000","27.8600","28.0600","27.4100"
"2017/04/12","27.9100","2604870.0000","28.1000","28.1700","27.6600"
"2017/04/11","28.1000","3001867.0000","28.0000","28.2400","27.6700"
"2017/04/10","27.9700","4672105.0000","26.8300","28.2210","26.8100"
"2017/04/07","26.8100","3175002.0000","26.6000","27.0500","26.4500"
"2017/04/06","26.6200","4491570.0000","26.0400","27.5000","25.5588"
"2017/04/05","26.5800","3567241.0000","27.0000","27.4000","26.5500"
"2017/04/04","26.8200","5849985.0000","26.2900","27.6500","26.0800"
"2017/04/03","26.3300","4870192.0000","27.1700","27.2500","26.2150"
"2017/03/31","27.1000","3716372.0000","27.5000","27.8900","27.0800"
"2017/03/30","27.4700","3541412.0000","27.9100","28.0900","27.1150"
"2017/03/29","28.0300","2470493.0000","28.3300","28.6500","28.0100"
"2017/03/28","28.2800","2422807.0000","28.0500","28.5300","28.0400"
"2017/03/27","28.2300","2422321.0000","28.1200","28.5500","27.7500"
"2017/03/24","28.3100","3325935.0000","28.6500","28.8500","28.1100"
"2017/03/23","28.5800","2596971.0000","28.8500","29.2500","28.5100"
"2017/03/22","28.8700","4853823.0000","29.0000","29.1600","28.0500"
"2017/03/21","29.0400","4856700.0000","30.0700","30.3480","29.0100"
"2017/03/20","30.3400","8011076.0000","32.1200","32.1200","29.7100"
"2017/03/17","31.8300","18473160.0000","32.9800","33.2500","31.8100"
"2017/03/16","32.9800","1965081.0000","33.1800","34.0472","32.8600"
"2017/03/15","33.0000","2379681.0000","32.0600","33.1500","31.8600"
"2017/03/14","32.0700","2498935.0000","32.5400","32.5800","31.9700"
"2017/03/13","32.8350","2121815.0000","32.1100","32.8600","31.9300"
"2017/03/10","32.4000","1389237.0000","32.5200","32.8500","32.0300"
"2017/03/09","32.4800","1226258.0000","32.5600","32.7700","32.1201"
"2017/03/08","32.6600","1432620.0000","32.7700","33.1700","32.5100"
"2017/03/07","32.6300","1857722.0000","33.1400","33.4899","32.4700"
"2017/03/06","33.3300","2150505.0000","34.4300","34.5000","33.0400"
"2017/03/03","34.6100","2211908.0000","35.6300","35.6500","34.2800"
"2017/03/02","35.5200","2125214.0000","35.1000","35.8768","34.8100"
"2017/03/01","35.0200","3711921.0000","36.5400","36.8800","34.7200"
"2017/02/28","36.1900","3329082.0000","36.6400","37.6900","36.0100"
"2017/02/27","37.8300","3007253.0000","38.0700","38.1650","37.0100"
"2017/02/24","37.9000","5719876.0000","36.4300","38.5000","36.3600"
"2017/02/23","37.1900","11857920.0000","33.6900","37.8400","33.6900"
"2017/02/22","33.5700","10939420.0000","35.5100","36.1500","33.4900"
"2017/02/21","36.6200","5128794.0000","35.3900","36.8600","35.1400"
"2017/02/17","34.8400","2394651.0000","34.0500","34.9000","33.5000"
"2017/02/16","34.1100","2904144.0000","34.2000","35.4680","33.7500"
"2017/02/15","34.7300","2134800.0000","34.0400","34.8200","33.7300"
"2017/02/14","33.9200","1604223.0000","33.2500","33.9600","32.7900"
"2017/02/13","33.3300","1503477.0000","33.1500","33.7601","32.8901"
"2017/02/10","32.8500","2081383.0000","32.2200","33.3800","31.9900"
"2017/02/09","32.2300","1300176.0000","31.7100","32.6000","31.6500"
"2017/02/08","31.5500","932648.0000","31.6400","31.7000","31.1100"
"2017/02/07","31.7900","1061971.0000","32.1400","32.2100","31.5700"
"2017/02/06","32.1300","1004096.0000","32.4100","32.4100","31.7900"
"2017/02/03","32.1500","1287362.0000","31.7500","32.2800","31.6700"
"2017/02/02","31.5900","1759048.0000","31.7200","32.1700","31.4210"
"2017/02/01","31.7900","1804673.0000","31.4000","31.9000","30.8000"
"2017/01/31","31.1900","1657190.0000","30.8300","31.2000","30.3400"
"2017/01/30","31.0200","2146713.0000","31.3200","31.3500","30.6100"
"2017/01/27","31.4800","2380412.0000","32.5900","32.7850","31.3800"
"2017/01/26","32.2800","1871143.0000","32.8300","33.1400","32.1100"
"2017/01/25","32.9000","1533013.0000","32.6900","33.1800","32.5900"
"2017/01/24","32.5300","2782302.0000","33.8800","33.8800","32.4700"
"2017/01/23","33.6600","1926818.0000","34.7500","34.7900","33.1200"
"2017/01/20","34.7500","1260210.0000","34.6400","35.2400","34.5100"
"2017/01/19","34.4200","1460312.0000","34.5000","35.1300","34.1600"
"2017/01/18","34.4100","1463115.0000","35.2200","35.3300","34.1000"
"2017/01/17","35.1700","1928762.0000","35.6900","36.0899","34.9950"
"2017/01/13","35.7500","1999103.0000","34.9100","36.4100","34.7300"
"2017/01/12","34.8700","1303707.0000","35.0500","35.1100","34.2501"
"2017/01/11","35.0000","3154108.0000","33.3400","35.2500","33.2100"
"2017/01/10","33.3900","1197311.0000","33.5900","33.7800","33.0100"
"2017/01/09","33.5700","1217263.0000","33.3800","33.7000","33.0200"
"2017/01/06","33.3200","1277779.0000","34.0700","34.0800","33.3000"
"2017/01/05","33.8800","1954943.0000","33.8700","34.1600","33.5000"
"2017/01/04","34.1700","2479200.0000","33.6900","34.5100","33.6000"
"2017/01/03","33.5400","2664887.0000","32.6100","33.6600","32.1000"
"2016/12/30","32.0900","2075763.0000","32.6000","32.7890","31.9400"
"2016/12/29","32.5700","1687156.0000","32.8500","33.2125","32.4100"
"2016/12/28","32.8000","1736006.0000","34.1000","34.2316","32.7100"
"2016/12/27","33.9900","1965731.0000","32.7500","34.2200","32.7300"
"2016/12/23","32.6200","1056527.0000","32.6200","32.9800","32.2500"
"2016/12/22","32.6800","2130394.0000","33.0500","33.1000","32.0800"
"2016/12/21","33.2000","2087627.0000","34.5000","34.6500","33.1800"
"2016/12/20","34.4700","2044955.0000","35.0700","35.5200","34.1700"
"2016/12/19","34.9800","2504908.0000","35.0000","35.4116","34.5600"
"2016/12/16","35.1100","5522673.0000","32.7700","35.1100","32.6100"
"2016/12/15","32.6100","1299352.0000","32.6400","33.0600","32.0700"
"2016/12/14","32.5400","2149969.0000","33.6300","33.6850","32.4700"
"2016/12/13","33.6200","1854402.0000","33.8700","33.9900","33.0300"
"2016/12/12","33.7000","1918869.0000","33.5900","34.2800","33.3900"
"2016/12/09","33.5400","2052188.0000","33.3100","33.8300","33.0700"
"2016/12/08","33.1700","2276090.0000","33.7400","33.7800","32.7800"
"2016/12/07","33.5900","3444303.0000","32.1700","33.8700","31.8500"
"2016/12/06","32.0500","2946334.0000","32.4600","32.5000","31.3100"
"2016/12/05","32.3500","4769070.0000","30.1800","32.5200","30.1800"
"2016/12/02","30.1500","2310328.0000","30.2200","30.7050","29.9900"
"2016/12/01","30.1400","2364220.0000","30.4700","30.8000","29.6500"
"2016/11/30","30.3200","2902800.0000","30.3300","30.7500","29.8100"
"2016/11/29","29.9500","4011510.0000","31.1000","31.3900","29.7700"
"2016/11/28","31.1100","2806109.0000","30.7100","31.4700","30.5700"
"2016/11/25","30.6000","2350198.0000","29.8000","31.0600","29.7900"
"2016/11/23","29.7800","2466444.0000","29.4500","29.8200","28.8400"
"2016/11/22","29.6600","3960110.0000","29.4700","30.0000","29.2900"
"2016/11/21","29.3800","4460155.0000","29.4100","29.6700","28.8800"
