"date","close","volume","open","high","low"

"2017/05/05","29.2200","16913830.0000","29.1300","29.2400","29.1100"
"2017/05/04","29.2000","19594890.0000","29.2700","29.3100","29.0500"
"2017/05/03","29.2300","26882210.0000","28.9200","29.2900","28.8500"
"2017/05/02","28.9900","31532040.0000","29.0100","29.0500","28.9100"
"2017/05/01","28.9400","24012810.0000","29.0100","29.1700","28.9300"
"2017/04/28","28.9900","24059960.0000","29.1000","29.1600","28.9300"
"2017/04/27","29.0800","32885850.0000","29.2900","29.3100","29.0200"
"2017/04/26","29.2600","37272210.0000","29.5200","29.5500","29.2600"
"2017/04/25","29.4500","39846370.0000","29.4500","29.6000","29.3200"
"2017/04/24","29.5500","48069990.0000","29.8500","29.9300","29.4900"
"2017/04/21","29.5500","72308480.0000","30.2700","30.3800","29.4500"
"2017/04/20","30.2700","36962470.0000","30.0500","30.5400","30.0300"
"2017/04/19","30.0000","26557930.0000","29.8900","30.0600","29.8700"
"2017/04/18","29.8400","25704840.0000","29.6000","29.9000","29.5800"
"2017/04/17","29.6400","21753210.0000","29.6200","29.7000","29.5500"
"2017/04/13","29.5600","19970850.0000","29.7000","29.8000","29.5500"
"2017/04/12","29.7700","27035190.0000","29.8800","29.9000","29.6500"
"2017/04/11","30.0400","22034990.0000","30.0000","30.1000","29.8400"
"2017/04/10","30.0100","18490340.0000","30.0700","30.2300","29.9600"
"2017/04/07","29.9900","18972100.0000","29.9200","30.1900","29.9200"
"2017/04/06","29.9300","21532850.0000","30.0000","30.1750","29.9200"
"2017/04/05","29.9700","25768610.0000","30.0900","30.4200","29.9500"
"2017/04/04","30.0200","25056780.0000","29.9000","30.0900","29.7000"
"2017/04/03","29.8800","29911710.0000","29.7600","30.0000","29.7450"
"2017/03/31","29.8000","50790660.0000","29.8600","30.0400","29.7400"
"2017/03/30","29.8700","35946960.0000","29.6600","29.9900","29.6300"
"2017/03/29","29.6800","27558500.0000","29.5200","29.7100","29.4600"
"2017/03/28","29.6200","27831630.0000","29.3100","29.7300","29.2500"
"2017/03/27","29.4400","28980020.0000","29.4500","29.5100","29.2500"
"2017/03/24","29.7200","27857460.0000","29.5900","29.8100","29.5300"
"2017/03/23","29.6200","24667740.0000","29.5000","29.7300","29.3800"
"2017/03/22","29.5300","25983900.0000","29.5600","29.7100","29.3100"
"2017/03/21","29.3900","26801090.0000","29.8600","29.8600","29.3400"
"2017/03/20","29.7400","18877430.0000","29.9000","29.9200","29.6900"
"2017/03/17","29.8800","43606820.0000","29.8500","30.0400","29.7700"
"2017/03/16","29.7500","21163350.0000","29.8000","29.8200","29.6200"
"2017/03/15","29.7600","25139330.0000","29.5500","29.8300","29.4700"
"2017/03/14","29.5400","22795260.0000","29.7600","29.7900","29.4700"
"2017/03/13","29.8600","29833470.0000","30.2300","30.2600","29.7900"
"2017/03/10","30.2800","59199320.0000","29.8400","30.4300","29.6300"
"2017/03/09","29.6600","25938480.0000","29.7500","29.8300","29.5600"
"2017/03/08","29.8000","32304090.0000","29.8900","29.9400","29.7300"
"2017/03/07","29.8600","29964490.0000","29.9300","29.9850","29.7900"
"2017/03/06","30.0000","23416740.0000","30.0000","30.0800","29.9200"
"2017/03/03","30.1200","19984560.0000","30.1900","30.2150","30.0500"
"2017/03/02","30.1900","27614070.0000","30.2300","30.2300","30.0000"
"2017/03/01","30.1900","36839740.0000","29.9800","30.3500","29.8200"
"2017/02/28","29.8100","39092390.0000","29.9900","30.0800","29.6700"
"2017/02/27","29.9400","23509520.0000","30.0500","30.1489","29.9000"
"2017/02/24","30.1900","27294870.0000","29.8400","30.1900","29.7800"
"2017/02/23","30.0200","28943890.0000","30.0400","30.0800","29.8500"
"2017/02/22","30.3300","30088380.0000","30.5200","30.5500","30.2600"
"2017/02/21","30.5200","30223220.0000","30.4100","30.5900","30.3400"
"2017/02/17","30.3700","21835860.0000","30.4100","30.4400","30.2000"
"2017/02/16","30.4500","25932010.0000","30.3500","30.4700","30.3000"
"2017/02/15","30.3500","25460790.0000","30.2900","30.3500","30.1800"
"2017/02/14","30.2800","35025920.0000","30.1300","30.2800","29.9200"
