Date,Volume
2016-01-03,72.31
2016-01-04,74.62
2016-01-05,81.54
2016-01-06,84.62
2016-01-07,85.38
2016-01-08,79.23
2016-01-09,66.92
2016-01-10,75.38
2016-01-11,87.69
2016-01-12,91.54
2016-01-13,90.77
2016-01-14,91.54
2016-01-15,82.31
2016-01-16,68.46
2016-01-17,73.85
2016-01-18,81.54
2016-01-19,89.23
2016-01-20,86.15
2016-01-21,90.0
2016-01-22,83.85
2016-01-23,69.23
2016-01-24,74.62
2016-01-25,84.62
2016-01-26,91.54
2016-01-27,93.85
2016-01-28,89.23
2016-01-29,86.15
2016-01-30,69.23
2016-01-31,73.08
2016-02-01,83.85
2016-02-02,88.46
2016-02-03,86.92
2016-02-04,87.69
2016-02-05,80.0
2016-02-06,65.38
2016-02-07,74.62
2016-02-08,93.08
2016-02-09,94.62
2016-02-10,96.15
2016-02-11,94.62
2016-02-12,86.92
2016-02-13,73.08
2016-02-14,73.08
2016-02-15,73.08
2016-02-16,80.77
2016-02-17,83.85
2016-02-18,82.31
2016-02-19,79.23
2016-02-20,63.85
2016-02-21,76.15
2016-02-22,90.77
2016-02-23,93.85
2016-02-24,93.08
2016-02-25,93.85
2016-02-26,86.92
2016-02-27,66.92
2016-02-28,76.92
2016-02-29,90.77
2016-03-01,94.62
2016-03-02,93.85
2016-03-03,93.85
2016-03-04,87.69
2016-03-05,69.23
2016-03-06,76.92
2016-03-07,95.38
2016-03-08,96.15
2016-03-09,96.15
2016-03-10,95.38
2016-03-11,90.0
2016-03-12,70.77
2016-03-13,73.08
2016-03-14,86.92
2016-03-15,88.46
2016-03-16,87.69
2016-03-17,86.92
2016-03-18,77.69
2016-03-19,64.62
2016-03-20,68.46
2016-03-21,88.46
2016-03-22,86.15
2016-03-23,76.92
2016-03-24,70.0
2016-03-25,62.31
2016-03-26,59.23
2016-03-27,67.69
2016-03-28,78.46
2016-03-29,81.54
2016-03-30,82.31
2016-03-31,81.54
2016-04-01,77.69
2016-04-02,62.31
2016-04-03,71.54
2016-04-04,81.54
2016-04-05,84.62
2016-04-06,86.15
2016-04-07,83.85
2016-04-08,79.23
2016-04-09,63.08
2016-04-10,74.62
2016-04-11,89.23
2016-04-12,90.0
2016-04-13,90.0
2016-04-14,89.23
2016-04-15,80.0
2016-04-16,65.38
2016-04-17,75.38
2016-04-18,91.54
2016-04-19,93.85
2016-04-20,91.54
2016-04-21,93.85
2016-04-22,88.46
2016-04-23,76.92
2016-04-24,73.85
2016-04-25,88.46
2016-04-26,85.38
2016-04-27,84.62
2016-04-28,85.38
2016-04-29,76.92
2016-04-30,63.85
2016-05-01,73.85
2016-05-02,92.31
2016-05-03,91.54
2016-05-04,90.77
2016-05-05,90.77
2016-05-06,80.77
2016-05-07,64.62
2016-05-08,72.31
2016-05-09,86.92
2016-05-10,86.15
2016-05-11,83.85
2016-05-12,83.08
2016-05-13,78.46
2016-05-14,59.23
2016-05-15,70.77
2016-05-16,83.85
2016-05-17,87.69
2016-05-18,86.15
2016-05-19,84.62
2016-05-20,76.15
2016-05-21,61.54
2016-05-22,66.92
2016-05-23,78.46
2016-05-24,81.54
2016-05-25,77.69
2016-05-26,76.92
2016-05-27,69.23
2016-05-28,58.46
2016-05-29,64.62
2016-05-30,71.54
2016-05-31,74.62
2016-06-01,73.85
2016-06-02,75.38
2016-06-03,67.69
2016-06-04,60.0
2016-06-05,60.77
2016-06-06,70.0
2016-06-07,68.46
2016-06-08,68.46
2016-06-09,63.85
2016-06-10,61.54
2016-06-11,53.85
2016-06-12,58.46
2016-06-13,65.38
2016-06-14,63.85
2016-06-15,62.31
2016-06-16,60.0
2016-06-17,56.15
2016-06-18,55.38
2016-06-19,55.38
2016-06-20,57.69
2016-06-21,56.92
2016-06-22,53.08
2016-06-23,51.54
2016-06-24,49.23
2016-06-25,46.15
2016-06-26,54.62
2016-06-27,56.92
2016-06-28,57.69
2016-06-29,56.15
2016-07-01,51.54
2016-07-02,48.46
2016-07-03,51.54
2016-07-04,52.31
2016-07-05,52.31
2016-07-06,52.31
2016-07-07,50.0
2016-07-08,48.46
2016-07-09,51.54
2016-07-10,51.54
2016-07-11,52.31
2016-07-12,53.85
2016-07-13,54.62
2016-07-14,54.62
2016-07-15,53.08
2016-07-16,52.31
2016-07-17,52.31
2016-07-18,50.77
2016-07-19,52.31
2016-07-20,54.62
2016-07-21,50.77
2016-07-22,50.0
2016-07-23,49.23
2016-07-24,53.08
2016-07-25,53.85
2016-07-26,54.62
2016-07-27,56.92
2016-07-28,56.15
2016-07-29,53.08
2016-07-30,50.77
2016-07-31,53.85
2016-08-01,51.54
2016-08-02,54.62
2016-08-03,52.31
2016-08-04,52.31
2016-08-05,50.77
2016-08-06,50.0
2016-08-07,53.08
2016-08-08,53.85
2016-08-09,56.15
2016-08-10,56.15
2016-08-11,54.62
2016-08-12,53.08
2016-08-13,51.54
2016-08-14,55.38
2016-08-15,59.23
2016-08-16,59.23
2016-08-17,61.54
2016-08-18,61.54
2016-08-19,59.23
2016-08-20,53.08
2016-08-21,60.77
2016-08-22,66.92
2016-08-23,68.46
2016-08-24,71.54
2016-08-25,70.0
2016-08-26,67.69
2016-08-27,57.69
2016-08-28,62.31
2016-08-29,70.0
2016-08-30,70.77
2016-08-31,74.62
2016-09-01,73.08
2016-09-02,67.69
2016-09-03,59.23
2016-09-04,64.62
2016-09-05,69.23
2016-09-06,78.46
2016-09-07,82.31
2016-09-08,81.54
2016-09-09,73.85
2016-09-10,59.23
2016-09-11,69.23
2016-09-12,83.85
2016-09-13,90.77
2016-09-14,87.69
2016-09-15,88.46
2016-09-16,81.54
2016-09-17,66.92
2016-09-18,71.54
2016-09-19,87.69
2016-09-20,90.77
2016-09-21,88.46
2016-09-22,91.54
2016-09-23,83.85
2016-09-24,64.62
2016-09-25,73.08
2016-09-26,86.92
2016-09-27,92.31
2016-09-28,90.77
2016-09-29,90.0
2016-09-30,83.08
2016-10-01,63.08
2016-10-02,72.31
2016-10-03,87.69
2016-10-04,93.85
2016-10-05,96.92
2016-10-06,91.54
2016-10-07,83.08
2016-10-08,66.15
2016-10-09,72.31
2016-10-10,83.85
2016-10-11,89.23
2016-10-12,89.23
2016-10-13,90.0
2016-10-14,81.54
2016-10-15,66.15
2016-10-16,72.31
2016-10-17,86.92
2016-10-18,90.0
2016-10-19,85.38
2016-10-20,88.46
2016-10-21,79.23
2016-10-22,65.38
2016-10-23,71.54
2016-10-24,86.15
2016-10-25,90.77
2016-10-26,86.92
2016-10-27,86.92
2016-10-28,79.23
2016-10-29,60.77
2016-10-30,73.08
2016-10-31,90.0
2016-11-01,93.85
2016-11-02,95.38
2016-11-03,93.85
2016-11-04,85.38
2016-11-05,66.15
2016-11-06,70.77
2016-11-07,83.85
2016-11-08,82.31
2016-11-09,78.46
2016-11-10,83.08
2016-11-11,70.77
2016-11-12,61.54
2016-11-13,76.92
2016-11-14,96.15
2016-11-15,99.23
2016-11-16,97.69
2016-11-17,98.46
2016-11-18,90.77
2016-11-19,68.46
2016-11-20,66.15
2016-11-21,77.69
2016-11-22,77.69
2016-11-23,68.46
2016-11-24,63.08
2016-11-25,56.15
2016-11-26,56.15
2016-11-27,74.62
2016-11-28,91.54
2016-11-29,97.69
2016-11-30,96.92
2016-12-01,93.85
2016-12-02,87.69
2016-12-03,64.62
2016-12-04,70.77
2016-12-05,90.77
2016-12-06,90.77
2016-12-07,90.77
2016-12-08,88.46
2016-12-09,77.69
2016-12-10,56.92
2016-12-11,68.46
2016-12-12,88.46
2016-12-13,91.54
2016-12-14,89.23
2016-12-15,84.62
2016-12-16,76.92
2016-12-17,58.46
2016-12-18,56.92
2016-12-19,63.08
2016-12-20,61.54
2016-12-21,60.77
2016-12-22,56.92
2016-12-23,50.77
2016-12-24,50.0
2016-12-25,48.46
2016-12-26,46.92
2016-12-27,46.92
2016-12-29,49.23
2016-12-30,46.15
2016-12-31,46.15
2017-01-01,58.46
2017-01-02,65.38
2017-01-03,73.85
2017-01-04,76.15
2017-01-05,80.0
2017-01-06,73.85
2017-01-07,65.38
2017-01-08,66.15
2017-01-09,76.92
2017-01-10,82.31
2017-01-11,80.77
2017-01-12,84.62
2017-01-13,75.38
2017-01-14,60.0
2017-01-15,65.38
2017-01-16,73.85
2017-01-17,87.69
2017-01-18,87.69
2017-01-19,86.15
2017-01-20,77.69
2017-01-21,60.77
2017-01-22,67.69
2017-01-23,85.38
2017-01-24,85.38
2017-01-25,86.15
2017-01-26,87.69
2017-01-27,78.46
2017-01-28,61.54
2017-01-29,67.69
2017-01-30,81.54
2017-01-31,87.69
2017-02-01,85.38
2017-02-02,87.69
2017-02-03,80.77
2017-02-04,62.31
2017-02-05,67.69
2017-02-06,86.15
2017-02-07,91.54
2017-02-08,90.77
2017-02-09,89.23
2017-02-10,83.85
2017-02-11,63.08
2017-02-12,71.54
2017-02-13,92.31
2017-02-14,100.0
2017-02-15,96.15
2017-02-16,94.62
2017-02-17,83.08
2017-02-18,65.38
2017-02-19,66.92
2017-02-20,72.31
2017-02-21,83.85
2017-02-22,83.85
2017-02-23,85.38
2017-02-24,78.46
2017-02-25,56.92
2017-02-26,71.54
2017-02-27,91.54
2017-02-28,93.85
2017-03-01,91.54
2017-03-02,93.85
2017-03-03,86.15
2017-03-04,64.62
2017-03-05,70.0
2017-03-06,88.46
2017-03-07,91.54
2017-03-08,90.77
