,date,value
0,2011-01-01,0
1,2011-01-02,0
2,2011-01-03,0
3,2011-01-04,0
4,2011-01-05,0
5,2011-01-06,0
6,2011-01-07,0
7,2011-01-08,0
8,2011-01-09,0
9,2011-01-10,0
10,2011-01-11,0
11,2011-01-12,0
12,2011-01-13,0
13,2011-01-14,0
14,2011-01-15,0
15,2011-01-16,0
16,2011-01-17,0
17,2011-01-18,0
18,2011-01-19,0
19,2011-01-20,0
20,2011-01-21,0
21,2011-01-22,0
22,2011-01-23,0
23,2011-01-24,0
24,2011-01-25,0
25,2011-01-26,0
26,2011-01-27,0
27,2011-01-28,100
28,2011-01-29,0
29,2011-01-30,0
30,2011-01-31,0
31,2011-02-01,0
32,2011-02-02,0
33,2011-02-03,0
34,2011-02-04,0
35,2011-02-05,0
36,2011-02-06,0
37,2011-02-07,0
38,2011-02-08,0
39,2011-02-09,0
40,2011-02-10,0
41,2011-02-11,0
42,2011-02-12,0
43,2011-02-13,0
44,2011-02-14,0
45,2011-02-15,0
46,2011-02-16,0
47,2011-02-17,0
48,2011-02-18,0
49,2011-02-19,0
50,2011-02-20,0
51,2011-02-21,0
52,2011-02-22,0
53,2011-02-23,0
54,2011-02-24,0
55,2011-02-25,0
56,2011-02-26,0
57,2011-02-27,0
58,2011-02-28,0
59,2011-03-01,0
60,2011-03-02,0
61,2011-03-03,0
62,2011-03-04,0
63,2011-03-05,0
64,2011-03-06,0
65,2011-03-07,0
66,2011-03-08,0
67,2011-03-09,0
68,2011-03-10,0
69,2011-03-11,0
70,2011-03-12,0
71,2011-03-13,0
72,2011-03-14,0
73,2011-03-15,0
74,2011-03-16,0
75,2011-03-17,0
76,2011-03-18,0
77,2011-03-19,0
78,2011-03-20,0
79,2011-03-21,0
80,2011-03-22,0
81,2011-03-23,0
82,2011-03-24,0
83,2011-03-25,0
84,2011-03-26,0
85,2011-03-27,0
86,2011-03-28,0
87,2011-03-29,0
88,2011-03-30,0
89,2011-03-31,0
90,2011-04-01,0
91,2011-04-02,0
92,2011-04-03,0
93,2011-04-04,0
94,2011-04-05,0
95,2011-04-06,0
96,2011-04-07,0
97,2011-04-08,0
98,2011-04-09,0
99,2011-04-10,0
100,2011-04-11,0
101,2011-04-12,0
102,2011-04-13,0
103,2011-04-14,0
104,2011-04-15,0
105,2011-04-16,0
106,2011-04-17,0
107,2011-04-18,0
108,2011-04-19,0
109,2011-04-20,0
110,2011-04-21,0
111,2011-04-22,0
112,2011-04-23,0
113,2011-04-24,0
114,2011-04-25,0
115,2011-04-26,0
116,2011-04-27,0
117,2011-04-28,0
118,2011-04-29,0
119,2011-04-30,0
120,2011-05-01,0
121,2011-05-02,0
122,2011-05-03,0
123,2011-05-04,0
124,2011-05-05,0
125,2011-05-06,0
126,2011-05-07,0
127,2011-05-08,0
128,2011-05-09,0
129,2011-05-10,0
130,2011-05-11,0
131,2011-05-12,93
132,2011-05-13,0
133,2011-05-14,0
134,2011-05-15,0
135,2011-05-16,0
136,2011-05-17,0
137,2011-05-18,0
138,2011-05-19,0
139,2011-05-20,0
140,2011-05-21,0
141,2011-05-22,0
142,2011-05-23,0
143,2011-05-24,0
144,2011-05-25,0
145,2011-05-26,0
146,2011-05-27,0
147,2011-05-28,0
148,2011-05-29,0
149,2011-05-30,0
150,2011-05-31,0
151,2011-06-01,0
152,2011-06-02,0
153,2011-06-03,0
154,2011-06-04,0
155,2011-06-05,0
156,2011-06-06,0
157,2011-06-07,89
158,2011-06-08,0
159,2011-06-09,0
160,2011-06-10,0
161,2011-06-11,0
162,2011-06-12,0
163,2011-06-13,0
164,2011-06-14,0
165,2011-06-15,0
166,2011-06-16,0
167,2011-06-17,0
168,2011-06-18,0
169,2011-06-19,0
170,2011-06-20,0
171,2011-06-21,0
172,2011-06-22,0
173,2011-06-23,0
174,2011-06-24,0
175,2011-06-25,0
176,2011-06-26,0
177,2011-06-27,0
178,2011-06-28,0
179,2011-06-29,0
180,2011-06-30,0
181,2011-07-01,0
182,2011-07-01,0
183,2011-07-02,0
184,2011-07-03,0
185,2011-07-04,0
186,2011-07-05,0
187,2011-07-06,0
188,2011-07-07,0
189,2011-07-08,0
190,2011-07-09,0
191,2011-07-10,0
192,2011-07-11,0
193,2011-07-12,0
194,2011-07-13,0
195,2011-07-14,0
196,2011-07-15,0
197,2011-07-16,0
198,2011-07-17,0
199,2011-07-18,96
200,2011-07-19,0
201,2011-07-20,0
202,2011-07-21,0
203,2011-07-22,0
204,2011-07-23,0
205,2011-07-24,0
206,2011-07-25,0
207,2011-07-26,0
208,2011-07-27,0
209,2011-07-28,0
210,2011-07-29,0
211,2011-07-30,0
212,2011-07-31,0
213,2011-08-01,0
214,2011-08-02,0
215,2011-08-03,0
216,2011-08-04,0
217,2011-08-05,0
218,2011-08-06,0
219,2011-08-07,0
220,2011-08-08,0
221,2011-08-09,0
222,2011-08-10,0
223,2011-08-11,0
224,2011-08-12,0
225,2011-08-13,0
226,2011-08-14,0
227,2011-08-15,0
228,2011-08-16,0
229,2011-08-17,0
230,2011-08-18,0
231,2011-08-19,0
232,2011-08-20,0
233,2011-08-21,0
234,2011-08-22,0
235,2011-08-23,0
236,2011-08-24,0
237,2011-08-25,0
238,2011-08-26,0
239,2011-08-27,0
240,2011-08-28,0
241,2011-08-29,0
242,2011-08-30,0
243,2011-08-31,0
244,2011-09-01,0
245,2011-09-02,0
246,2011-09-03,0
247,2011-09-04,0
248,2011-09-05,0
249,2011-09-06,0
250,2011-09-07,0
251,2011-09-08,0
252,2011-09-09,0
253,2011-09-10,0
254,2011-09-11,0
255,2011-09-12,0
256,2011-09-13,0
257,2011-09-14,0
258,2011-09-15,0
259,2011-09-16,0
260,2011-09-17,0
261,2011-09-18,0
262,2011-09-19,0
263,2011-09-20,0
264,2011-09-21,0
265,2011-09-22,0
266,2011-09-23,0
267,2011-09-24,0
268,2011-09-25,0
269,2011-09-26,0
270,2011-09-27,0
271,2011-09-28,0
272,2011-09-29,0
273,2011-09-30,0
274,2011-10-01,0
275,2011-10-02,0
276,2011-10-03,0
277,2011-10-04,0
278,2011-10-05,0
279,2011-10-06,0
280,2011-10-07,0
281,2011-10-08,0
282,2011-10-09,0
283,2011-10-10,0
284,2011-10-11,0
285,2011-10-12,0
286,2011-10-13,0
287,2011-10-14,0
288,2011-10-15,0
289,2011-10-16,0
290,2011-10-17,0
291,2011-10-18,0
292,2011-10-19,0
293,2011-10-20,0
294,2011-10-21,0
295,2011-10-22,0
296,2011-10-23,0
297,2011-10-24,0
298,2011-10-25,0
299,2011-10-26,0
300,2011-10-27,0
301,2011-10-28,0
302,2011-10-29,0
303,2011-10-30,0
304,2011-10-31,0
305,2011-11-01,0
306,2011-11-02,86
307,2011-11-03,0
308,2011-11-04,0
309,2011-11-05,0
310,2011-11-06,0
311,2011-11-07,0
312,2011-11-08,0
313,2011-11-09,0
314,2011-11-10,0
315,2011-11-11,0
316,2011-11-12,0
317,2011-11-13,0
