,date,value
0,2011-12-29,0
1,2011-12-30,0
2,2011-12-31,0
3,2012-01-01,0
4,2012-01-02,0
5,2012-01-03,0
6,2012-01-04,0
7,2012-01-05,0
8,2012-01-06,0
9,2012-01-07,0
10,2012-01-08,0
11,2012-01-09,0
12,2012-01-10,0
13,2012-01-11,0
14,2012-01-12,0
15,2012-01-13,0
16,2012-01-14,0
17,2012-01-15,0
18,2012-01-16,0
19,2012-01-17,0
20,2012-01-18,0
21,2012-01-19,0
22,2012-01-20,0
23,2012-01-21,0
24,2012-01-22,0
25,2012-01-23,0
26,2012-01-24,0
27,2012-01-25,0
28,2012-01-26,0
29,2012-01-27,0
30,2012-01-28,0
31,2012-01-29,0
32,2012-01-30,0
33,2012-01-31,0
34,2012-02-01,0
35,2012-02-02,0
36,2012-02-03,0
37,2012-02-04,0
38,2012-02-05,0
39,2012-02-06,0
40,2012-02-07,0
41,2012-02-08,0
42,2012-02-09,0
43,2012-02-10,0
44,2012-02-11,0
45,2012-02-12,0
46,2012-02-13,0
47,2012-02-14,0
48,2012-02-15,0
49,2012-02-16,0
50,2012-02-17,0
51,2012-02-18,0
52,2012-02-19,0
53,2012-02-20,0
54,2012-02-21,0
55,2012-02-22,0
56,2012-02-23,0
57,2012-02-24,0
58,2012-02-25,0
59,2012-02-26,0
60,2012-02-27,0
61,2012-02-28,0
62,2012-02-29,0
63,2012-03-01,0
64,2012-03-02,0
65,2012-03-03,0
66,2012-03-04,0
67,2012-03-05,0
68,2012-03-06,0
69,2012-03-07,0
70,2012-03-08,0
71,2012-03-09,0
72,2012-03-10,0
73,2012-03-11,0
74,2012-03-12,0
75,2012-03-13,0
76,2012-03-14,0
77,2012-03-15,0
78,2012-03-16,0
79,2012-03-17,0
80,2012-03-18,0
81,2012-03-19,0
82,2012-03-20,0
83,2012-03-21,0
84,2012-03-22,0
85,2012-03-23,0
86,2012-03-24,0
87,2012-03-25,0
88,2012-03-26,0
89,2012-03-27,0
90,2012-03-28,0
91,2012-03-29,0
92,2012-03-30,0
93,2012-03-31,0
94,2012-04-01,0
95,2012-04-02,0
96,2012-04-03,0
97,2012-04-04,0
98,2012-04-05,0
99,2012-04-06,0
100,2012-04-07,0
101,2012-04-08,0
102,2012-04-09,0
103,2012-04-10,0
104,2012-04-11,0
105,2012-04-12,0
106,2012-04-13,0
107,2012-04-14,0
108,2012-04-15,0
109,2012-04-16,0
110,2012-04-17,0
111,2012-04-18,0
112,2012-04-19,0
113,2012-04-20,0
114,2012-04-21,0
115,2012-04-22,0
116,2012-04-23,0
117,2012-04-24,0
118,2012-04-25,0
119,2012-04-26,0
120,2012-04-27,0
121,2012-04-28,0
122,2012-04-29,0
123,2012-04-30,0
124,2012-05-01,0
125,2012-05-02,0
126,2012-05-03,0
127,2012-05-04,0
128,2012-05-05,0
129,2012-05-06,0
130,2012-05-07,0
131,2012-05-08,0
132,2012-05-09,0
133,2012-05-10,0
134,2012-05-11,0
135,2012-05-12,0
136,2012-05-13,0
137,2012-05-14,0
138,2012-05-15,0
139,2012-05-16,0
140,2012-05-17,0
141,2012-05-18,0
142,2012-05-19,0
143,2012-05-20,0
144,2012-05-21,0
145,2012-05-22,0
146,2012-05-23,0
147,2012-05-24,0
148,2012-05-25,0
149,2012-05-26,0
150,2012-05-27,100
151,2012-05-28,0
152,2012-05-29,0
153,2012-05-30,0
154,2012-05-31,0
155,2012-06-01,0
156,2012-06-02,0
157,2012-06-03,0
158,2012-06-04,0
159,2012-06-05,0
160,2012-06-06,0
161,2012-06-07,0
162,2012-06-08,0
163,2012-06-09,0
164,2012-06-10,0
165,2012-06-11,0
166,2012-06-12,0
167,2012-06-13,0
168,2012-06-14,0
169,2012-06-15,0
170,2012-06-16,0
171,2012-06-17,0
172,2012-06-18,0
173,2012-06-19,0
174,2012-06-20,0
175,2012-06-21,0
176,2012-06-22,0
177,2012-06-23,0
178,2012-06-24,0
179,2012-06-25,0
180,2012-06-26,0
181,2012-06-27,0
182,2015-06-18,100
183,2015-06-19,0
184,2015-06-20,0
185,2015-06-21,0
186,2015-06-22,0
187,2015-06-23,0
188,2015-06-24,0
189,2015-06-25,0
190,2015-06-26,0
191,2015-06-27,0
192,2015-06-28,0
193,2015-06-29,0
194,2015-06-30,0
195,2015-07-01,0
196,2015-07-02,0
197,2015-07-03,0
198,2015-07-04,0
199,2015-07-05,0
200,2015-07-06,0
201,2015-07-07,0
202,2015-07-08,0
203,2015-07-09,0
204,2015-07-10,0
205,2015-07-11,0
206,2015-07-12,0
207,2015-07-13,0
208,2015-07-14,0
209,2015-07-15,0
210,2015-07-16,0
211,2015-07-17,0
212,2015-07-18,0
213,2015-07-19,0
214,2015-07-20,0
215,2015-07-21,0
216,2015-07-22,0
217,2015-07-23,0
218,2015-07-24,0
219,2015-07-25,0
220,2015-07-26,0
221,2015-07-27,0
222,2015-07-28,0
223,2015-07-29,0
224,2015-07-30,0
225,2015-07-31,0
226,2015-08-01,0
227,2015-08-02,0
228,2015-08-03,0
229,2015-08-04,0
230,2015-08-05,0
231,2015-08-06,0
232,2015-08-07,0
233,2015-08-08,0
234,2015-08-09,0
235,2015-08-10,0
236,2015-08-11,0
237,2015-08-12,0
238,2015-08-13,0
239,2015-08-14,0
240,2015-08-15,0
241,2015-08-16,0
242,2015-08-17,0
243,2015-08-18,0
244,2015-08-19,0
245,2015-08-20,0
246,2015-08-21,0
247,2015-08-22,0
248,2015-08-23,0
249,2015-08-24,0
250,2015-08-25,0
251,2015-08-26,0
252,2015-08-27,0
253,2015-08-28,0
254,2015-08-29,0
255,2015-08-30,0
256,2015-08-31,0
257,2015-09-01,0
258,2015-09-02,0
259,2015-09-03,0
260,2015-09-04,0
261,2015-09-05,0
262,2015-09-06,0
263,2015-09-07,0
264,2015-09-08,0
265,2015-09-09,0
266,2015-09-10,0
267,2015-09-11,0
268,2015-09-12,0
269,2015-09-13,0
270,2015-09-14,0
271,2015-09-15,0
272,2015-09-16,0
273,2015-09-17,0
274,2015-09-18,0
275,2015-09-19,0
276,2015-09-20,0
277,2015-09-21,0
278,2015-09-22,0
279,2015-09-23,0
280,2015-09-24,0
281,2015-09-25,0
282,2015-09-26,0
283,2015-09-27,0
284,2015-09-28,0
285,2015-09-29,0
286,2015-09-30,0
287,2015-10-01,0
288,2015-10-02,0
289,2015-10-03,0
290,2015-10-04,0
291,2015-10-05,0
292,2015-10-06,0
293,2015-10-07,0
294,2015-10-08,0
295,2015-10-09,0
296,2015-10-10,0
297,2015-10-11,0
298,2015-10-12,0
299,2015-10-13,0
300,2015-10-14,92
301,2015-10-15,0
302,2015-10-16,0
303,2015-10-17,0
304,2015-10-18,0
305,2015-10-19,0
306,2015-10-20,0
307,2015-10-21,0
308,2015-10-22,0
309,2015-10-23,0
310,2015-10-24,0
311,2015-10-25,0
312,2015-10-26,0
313,2015-10-27,0
314,2015-10-28,0
315,2015-10-29,0
316,2015-10-30,0
317,2015-10-31,0
318,2015-11-01,0
319,2015-11-02,0
320,2015-11-03,0
321,2015-11-04,0
322,2015-11-05,0
323,2015-11-06,0
324,2015-11-07,0
325,2015-11-08,0
326,2015-11-09,0
327,2015-11-10,0
328,2015-11-11,0
329,2015-11-12,0
330,2015-11-13,0
331,2015-11-14,0
332,2015-11-15,0
333,2015-11-16,0
334,2015-11-17,0
335,2015-11-18,0
336,2015-11-19,0
337,2015-11-20,0
338,2015-11-21,0
339,2015-11-22,0
340,2015-11-23,0
341,2015-11-24,0
342,2015-11-25,0
343,2015-11-26,0
344,2015-11-27,0
345,2015-11-28,0
346,2015-11-29,0
347,2015-11-30,0
348,2015-12-01,0
349,2015-12-02,0
350,2015-12-03,0
351,2015-12-04,0
352,2015-12-05,0
353,2015-12-06,0
354,2015-12-07,0
355,2015-12-08,0
356,2015-12-09,0
357,2015-12-10,0
358,2015-12-11,0
359,2015-12-12,0
360,2015-12-13,0
361,2015-12-14,0
362,2015-12-15,0
363,2015-12-16,0
364,2015-12-16,0
365,2015-12-17,0
366,2015-12-18,0
367,2015-12-19,0
368,2015-12-20,0
369,2015-12-21,0
370,2015-12-22,0
371,2015-12-23,0
372,2015-12-24,0
373,2015-12-25,0
374,2015-12-26,0
375,2015-12-27,0
376,2015-12-28,0
377,2015-12-29,0
378,2015-12-30,0
379,2015-12-31,0
380,2016-01-01,0
381,2016-01-02,0
382,2016-01-03,0
383,2016-01-04,0
384,2016-01-05,0
385,2016-01-06,0
386,2016-01-07,0
387,2016-01-08,0
388,2016-01-09,0
389,2016-01-10,0
390,2016-01-11,0
391,2016-01-12,0
392,2016-01-13,0
393,2016-01-14,0
394,2016-01-15,0
395,2016-01-16,0
396,2016-01-17,0
397,2016-01-18,0
398,2016-01-19,0
399,2016-01-20,0
400,2016-01-21,0
401,2016-01-22,0
402,2016-01-23,0
403,2016-01-24,0
404,2016-01-25,0
405,2016-01-26,0
406,2016-01-27,0
407,2016-01-28,0
408,2016-01-29,0
409,2016-01-30,0
410,2016-01-31,0
411,2016-02-01,0
412,2016-02-02,0
413,2016-02-03,0
414,2016-02-04,0
415,2016-02-05,0
416,2016-02-06,0
417,2016-02-07,0
418,2016-02-08,0
419,2016-02-09,0
420,2016-02-10,0
421,2016-02-11,0
422,2016-02-12,0
423,2016-02-13,0
424,2016-02-14,0
425,2016-02-15,0
426,2016-02-16,0
427,2016-02-17,0
428,2016-02-18,0
429,2016-02-19,0
430,2016-02-20,0
431,2016-02-21,0
432,2016-02-22,0
433,2016-02-23,0
434,2016-02-24,0
435,2016-02-25,0
436,2016-02-26,0
437,2016-02-27,0
438,2016-02-28,0
439,2016-02-29,0
440,2016-03-01,100
441,2016-03-02,0
442,2016-03-03,0
443,2016-03-04,0
444,2016-03-05,0
445,2016-03-06,0
446,2016-03-07,0
447,2016-03-08,0
448,2016-03-09,0
449,2016-03-10,0
450,2016-03-11,0
451,2016-03-12,0
452,2016-03-13,0
453,2016-03-14,0
454,2016-03-15,0
455,2016-03-16,0
456,2016-03-17,0
457,2016-03-18,0
458,2016-03-19,0
459,2016-03-20,0
460,2016-03-21,0
461,2016-03-22,0
462,2016-03-23,0
463,2016-03-24,0
464,2016-03-25,0
465,2016-03-26,0
466,2016-03-27,0
467,2016-03-28,0
468,2016-03-29,0
469,2016-03-30,0
470,2016-03-31,0
471,2016-04-01,0
472,2016-04-02,0
473,2016-04-03,0
474,2016-04-04,0
475,2016-04-05,0
476,2016-04-06,0
477,2016-04-07,0
478,2016-04-08,0
479,2016-04-09,0
480,2016-04-10,0
481,2016-04-11,0
482,2016-04-12,0
483,2016-04-13,0
484,2016-04-14,0
485,2016-04-15,0
486,2016-04-16,0
487,2016-04-17,0
488,2016-04-18,0
489,2016-04-19,0
490,2016-04-20,0
491,2016-04-21,0
492,2016-04-22,0
493,2016-04-23,0
494,2016-04-24,0
495,2016-04-25,0
496,2016-04-26,0
497,2016-04-27,0
498,2016-04-28,0
499,2016-04-29,0
500,2016-04-30,0
501,2016-05-01,0
502,2016-05-02,0
503,2016-05-03,0
504,2016-05-04,0
505,2016-05-05,0
506,2016-05-06,0
507,2016-05-07,0
508,2016-05-08,0
509,2016-05-09,0
510,2016-05-10,0
511,2016-05-11,0
512,2016-05-12,0
513,2016-05-13,0
514,2016-05-14,0
515,2016-05-15,0
516,2016-05-16,0
517,2016-05-17,0
518,2016-05-18,0
519,2016-05-19,0
520,2016-05-20,0
521,2016-05-21,0
522,2016-05-22,0
523,2016-05-23,0
524,2016-05-24,0
525,2016-05-25,0
526,2016-05-26,0
527,2016-05-27,0
528,2016-05-28,0
529,2016-05-29,0
530,2016-05-30,0
531,2016-05-31,0
532,2016-06-01,0
533,2016-06-02,0
534,2016-06-03,0
535,2016-06-04,0
536,2016-06-05,0
537,2016-06-06,0
538,2016-06-07,0
539,2016-06-08,0
540,2016-06-09,0
541,2016-06-10,0
542,2016-06-11,0
543,2016-06-12,0
544,2016-06-13,0
545,2016-06-14,0
546,2016-06-14,0
547,2016-06-15,0
548,2016-06-16,0
549,2016-06-17,0
550,2016-06-18,0
551,2016-06-19,0
552,2016-06-20,0
553,2016-06-21,0
554,2016-06-22,0
555,2016-06-23,0
556,2016-06-24,0
557,2016-06-25,0
558,2016-06-26,0
559,2016-06-27,0
560,2016-06-28,0
561,2016-06-29,0
562,2016-06-30,0
563,2016-07-01,0
564,2016-07-02,0
565,2016-07-03,0
566,2016-07-04,0
567,2016-07-05,0
568,2016-07-06,0
569,2016-07-07,0
570,2016-07-08,0
571,2016-07-09,0
572,2016-07-10,0
573,2016-07-11,0
574,2016-07-12,0
575,2016-07-13,0
576,2016-07-14,0
577,2016-07-15,0
578,2016-07-16,0
579,2016-07-17,0
580,2016-07-18,0
581,2016-07-19,0
582,2016-07-20,0
583,2016-07-21,0
584,2016-07-22,0
585,2016-07-23,0
586,2016-07-24,0
587,2016-07-25,0
588,2016-07-26,0
589,2016-07-27,0
590,2016-07-28,0
591,2016-07-29,0
592,2016-07-30,0
593,2016-07-31,0
594,2016-08-01,0
595,2016-08-02,0
596,2016-08-03,0
597,2016-08-04,0
598,2016-08-05,0
599,2016-08-06,0
600,2016-08-07,0
601,2016-08-08,0
602,2016-08-09,0
603,2016-08-10,0
604,2016-08-11,0
605,2016-08-12,0
606,2016-08-13,0
607,2016-08-14,0
608,2016-08-15,0
609,2016-08-16,0
610,2016-08-17,0
611,2016-08-18,0
612,2016-08-19,0
613,2016-08-20,0
614,2016-08-21,0
615,2016-08-22,0
616,2016-08-23,0
617,2016-08-24,0
618,2016-08-25,0
619,2016-08-26,0
620,2016-08-27,0
621,2016-08-28,0
622,2016-08-29,0
623,2016-08-30,0
624,2016-08-31,0
625,2016-09-01,0
626,2016-09-02,0
627,2016-09-03,0
628,2016-09-04,0
629,2016-09-05,0
630,2016-09-06,0
631,2016-09-07,0
632,2016-09-08,0
633,2016-09-09,0
634,2016-09-10,0
635,2016-09-11,0
636,2016-09-12,0
637,2016-09-13,0
638,2016-09-14,0
639,2016-09-15,0
640,2016-09-16,0
641,2016-09-17,0
642,2016-09-18,0
643,2016-09-19,0
644,2016-09-20,0
645,2016-09-21,0
646,2016-09-22,0
647,2016-09-23,0
648,2016-09-24,0
649,2016-09-25,0
650,2016-09-26,0
651,2016-09-27,0
652,2016-09-28,0
653,2016-09-29,0
654,2016-09-30,100
655,2016-10-01,0
656,2016-10-02,0
657,2016-10-03,0
658,2016-10-04,0
659,2016-10-05,0
660,2016-10-06,0
661,2016-10-07,0
662,2016-10-08,0
663,2016-10-09,0
664,2016-10-10,0
665,2016-10-11,0
666,2016-10-12,0
667,2016-10-13,0
668,2016-10-14,0
669,2016-10-15,0
670,2016-10-16,0
671,2016-10-17,0
672,2016-10-18,0
673,2016-10-19,0
674,2016-10-20,0
675,2016-10-21,0
676,2016-10-22,0
677,2016-10-23,0
678,2016-10-24,0
679,2016-10-25,0
680,2016-10-26,0
681,2016-10-27,0
682,2016-10-28,0
683,2016-10-29,0
684,2016-10-30,0
685,2016-10-31,0
686,2016-11-01,0
687,2016-11-02,0
688,2016-11-03,0
689,2016-11-04,0
690,2016-11-05,0
691,2016-11-06,0
692,2016-11-07,0
693,2016-11-08,0
694,2016-11-09,86
695,2016-11-10,0
696,2016-11-11,0
697,2016-11-12,0
698,2016-11-13,0
699,2016-11-14,0
700,2016-11-15,0
701,2016-11-16,0
702,2016-11-17,0
703,2016-11-18,0
704,2016-11-19,0
705,2016-11-20,0
706,2016-11-21,0
707,2016-11-22,0
708,2016-11-23,0
709,2016-11-24,0
710,2016-11-25,0
711,2016-11-26,0
712,2016-11-27,0
713,2016-11-28,0
714,2016-11-29,0
715,2016-11-30,0
716,2016-12-01,0
717,2016-12-02,0
718,2016-12-03,0
719,2016-12-04,0
720,2016-12-05,0
721,2016-12-06,0
722,2016-12-07,0
723,2016-12-08,0
724,2016-12-09,0
725,2016-12-10,0
726,2016-12-11,0
727,2016-12-12,0
