,date,value
0,2012-05-07,96
1,2012-05-08,0
2,2012-05-09,48
3,2012-05-10,0
4,2012-05-11,0
5,2012-05-12,0
6,2012-05-13,59
7,2012-05-14,0
8,2012-05-15,0
9,2012-05-16,0
10,2012-05-17,49
11,2012-05-18,51
12,2012-05-19,0
13,2012-05-20,0
14,2012-05-21,48
15,2012-05-22,0
16,2012-05-23,48
17,2012-05-24,0
18,2012-05-25,0
19,2012-05-26,0
20,2012-05-27,0
21,2012-05-28,0
22,2012-05-29,0
23,2012-05-30,0
24,2012-05-31,48
25,2012-06-01,100
26,2012-06-02,0
27,2012-06-03,0
28,2012-06-04,47
29,2012-06-05,0
30,2012-06-06,0
31,2012-06-07,49
32,2012-06-08,0
33,2012-06-09,0
34,2012-06-10,0
35,2012-06-11,95
36,2012-06-12,47
37,2012-06-13,0
38,2012-06-14,0
39,2012-06-15,0
40,2012-06-16,0
41,2012-06-17,0
42,2012-06-18,48
43,2012-06-19,47
44,2012-06-20,0
45,2012-06-21,49
46,2012-06-22,0
47,2012-06-23,0
48,2012-06-24,0
49,2012-06-25,0
50,2012-06-26,0
51,2012-06-27,0
52,2012-06-28,0
53,2012-06-29,0
54,2012-06-30,0
55,2012-07-01,0
56,2012-07-02,48
57,2012-07-03,0
58,2012-07-04,0
59,2012-07-05,99
60,2012-07-06,0
61,2012-07-07,0
62,2012-07-08,0
63,2012-07-09,48
64,2012-07-10,0
65,2012-07-11,0
66,2012-07-12,0
67,2012-07-13,0
68,2012-07-14,0
69,2012-07-15,0
70,2012-07-16,0
71,2012-07-17,0
72,2012-07-18,49
73,2012-07-19,0
74,2012-07-20,0
75,2012-07-21,0
76,2012-07-22,61
77,2012-07-23,0
78,2012-07-24,0
79,2012-07-25,0
80,2012-07-26,0
81,2012-07-27,52
82,2012-07-28,0
83,2012-07-29,0
84,2012-07-30,0
85,2012-07-31,48
86,2012-08-01,0
87,2012-08-02,0
88,2012-08-03,0
89,2012-08-04,0
90,2012-08-05,0
91,2012-08-06,0
92,2012-08-07,0
93,2012-08-08,0
94,2012-08-09,49
95,2012-08-10,52
96,2012-08-11,60
97,2012-08-12,0
98,2012-08-13,0
99,2012-08-14,0
100,2012-08-15,0
101,2012-08-16,0
102,2012-08-17,52
103,2012-08-18,0
104,2012-08-19,0
105,2012-08-20,0
106,2012-08-21,0
107,2012-08-22,48
108,2012-08-23,0
109,2012-08-24,51
110,2012-08-25,0
111,2012-08-26,57
112,2012-08-27,47
113,2012-08-28,47
114,2012-08-29,0
115,2012-08-30,0
116,2012-08-31,0
117,2012-09-01,0
118,2012-09-02,58
119,2012-09-03,0
120,2012-09-04,0
121,2012-09-05,0
122,2012-09-06,0
123,2012-09-07,0
124,2012-09-08,0
125,2012-09-09,57
126,2012-09-10,46
127,2012-09-11,0
128,2012-09-12,0
129,2012-09-13,0
130,2012-09-14,48
131,2012-09-15,57
132,2012-09-16,0
133,2012-09-17,0
134,2012-09-18,0
135,2012-09-19,0
136,2012-09-20,0
137,2012-09-21,0
138,2012-09-22,0
139,2012-09-23,0
140,2012-09-24,45
141,2012-09-25,90
142,2012-09-26,0
143,2012-09-27,47
144,2012-09-28,48
145,2012-09-29,56
146,2012-09-30,0
147,2012-10-01,92
148,2012-10-02,46
149,2012-10-03,0
150,2012-10-04,0
151,2012-10-05,47
152,2012-10-06,54
153,2012-10-07,0
154,2012-10-08,45
155,2012-10-09,0
156,2012-10-10,44
