,date,value
0,2011-01-01,21
1,2011-01-02,75
2,2011-01-03,50
3,2011-01-04,65
4,2011-01-05,29
5,2011-01-06,35
6,2011-01-07,35
7,2011-01-08,59
8,2011-01-09,41
9,2011-01-10,33
10,2011-01-11,70
11,2011-01-12,64
12,2011-01-13,28
13,2011-01-14,24
14,2011-01-15,58
15,2011-01-16,34
16,2011-01-17,35
17,2011-01-18,36
18,2011-01-19,32
19,2011-01-20,21
20,2011-01-21,24
21,2011-01-22,17
22,2011-01-23,51
23,2011-01-24,31
24,2011-01-25,27
25,2011-01-26,27
26,2011-01-27,23
27,2011-01-28,29
28,2011-01-29,33
29,2011-01-30,49
30,2011-01-31,35
31,2011-02-01,31
32,2011-02-02,35
33,2011-02-03,31
34,2011-02-04,37
35,2011-02-05,50
36,2011-02-06,32
37,2011-02-07,31
38,2011-02-08,36
39,2011-02-09,23
40,2011-02-10,50
41,2011-02-11,100
42,2011-02-12,34
43,2011-02-13,39
44,2011-02-14,41
45,2011-02-15,33
46,2011-02-16,31
47,2011-02-17,46
48,2011-02-18,38
49,2011-02-19,22
50,2011-02-20,44
51,2011-02-21,31
52,2011-02-22,44
53,2011-02-23,27
54,2011-02-24,41
55,2011-02-25,42
56,2011-02-26,17
57,2011-02-27,43
58,2011-02-28,13
59,2011-03-01,22
60,2011-03-02,22
61,2011-03-03,27
62,2011-03-04,14
63,2011-03-05,34
64,2011-03-06,34
65,2011-03-07,36
66,2011-03-08,27
67,2011-03-09,40
68,2011-03-10,18
69,2011-03-11,55
70,2011-03-12,39
71,2011-03-13,17
72,2011-03-14,56
73,2011-03-15,49
74,2011-03-16,44
75,2011-03-17,41
76,2011-03-18,28
77,2011-03-19,22
78,2011-03-20,57
79,2011-03-21,57
80,2011-03-22,31
81,2011-03-23,27
82,2011-03-24,59
83,2011-03-25,14
84,2011-03-26,44
85,2011-03-27,38
86,2011-03-28,39
87,2011-03-29,26
88,2011-03-30,20
89,2011-03-31,40
90,2011-04-01,28
91,2011-04-02,34
92,2011-04-03,22
93,2011-04-04,57
94,2011-04-05,66
95,2011-04-06,33
96,2011-04-07,50
97,2011-04-08,14
98,2011-04-09,29
99,2011-04-10,62
100,2011-04-11,26
101,2011-04-12,44
102,2011-04-13,49
103,2011-04-14,45
104,2011-04-15,33
105,2011-04-16,23
106,2011-04-17,51
107,2011-04-18,27
108,2011-04-19,36
109,2011-04-20,28
110,2011-04-21,22
111,2011-04-22,16
112,2011-04-23,36
113,2011-04-24,24
114,2011-04-25,20
115,2011-04-26,39
116,2011-04-27,57
117,2011-04-28,40
118,2011-04-29,23
119,2011-04-30,28
120,2011-05-01,51
121,2011-05-02,27
122,2011-05-03,26
123,2011-05-04,31
124,2011-05-05,27
