Date,Volume
2016-01-03,20.35
2016-01-04,17.44
2016-01-05,19.19
2016-01-06,22.09
2016-01-07,22.67
2016-01-08,29.07
2016-01-09,22.09
2016-01-10,25.0
2016-01-11,31.98
2016-01-12,28.49
2016-01-13,36.63
2016-01-14,31.98
2016-01-15,34.88
2016-01-16,23.84
2016-01-17,31.98
2016-01-18,38.37
2016-01-19,56.98
2016-01-20,62.21
2016-01-21,68.02
2016-01-22,44.19
2016-01-23,41.28
2016-01-24,31.98
2016-01-25,23.84
2016-01-26,37.21
2016-01-27,34.88
2016-01-28,23.84
2016-01-29,20.93
2016-01-30,26.16
2016-01-31,27.91
2016-02-01,35.47
2016-02-02,38.95
2016-02-03,44.77
2016-02-04,37.21
2016-02-05,28.49
2016-02-06,23.84
2016-02-07,32.56
2016-02-08,34.3
2016-02-09,39.53
2016-02-10,47.67
2016-02-11,51.74
2016-02-12,30.23
2016-02-13,32.56
2016-02-14,39.53
2016-02-15,51.16
2016-02-16,59.88
2016-02-17,62.21
2016-02-18,53.49
2016-02-19,54.65
2016-02-20,30.23
2016-02-21,39.53
2016-02-22,44.19
2016-02-23,41.86
2016-02-24,42.44
2016-02-25,42.44
2016-02-26,37.79
2016-02-27,29.65
2016-02-28,36.63
2016-02-29,35.47
2016-03-01,41.86
2016-03-02,40.7
2016-03-03,38.37
2016-03-04,34.3
2016-03-05,31.98
2016-03-06,48.26
2016-03-07,58.14
2016-03-08,66.28
2016-03-09,100.0
2016-03-10,56.98
2016-03-11,44.77
2016-03-12,34.88
2016-03-13,34.88
2016-03-14,47.09
2016-03-15,61.05
2016-03-16,47.09
2016-03-17,47.09
2016-03-18,34.88
2016-03-19,20.93
2016-03-20,26.74
2016-03-21,30.81
2016-03-22,27.33
2016-03-23,22.67
2016-03-24,19.77
2016-03-25,17.44
2016-03-26,24.42
2016-03-27,33.72
2016-03-28,44.19
2016-03-29,41.86
2016-03-30,50.0
2016-03-31,44.77
2016-04-01,38.95
2016-04-02,28.49
2016-04-03,40.12
2016-04-04,38.37
2016-04-05,40.7
2016-04-06,49.42
2016-04-07,41.28
2016-04-08,40.7
2016-04-09,34.3
2016-04-10,42.44
2016-04-11,43.02
2016-04-12,53.49
2016-04-13,45.35
2016-04-14,52.91
2016-04-15,37.79
2016-04-16,30.81
2016-04-17,44.77
2016-04-18,45.35
2016-04-19,51.16
2016-04-20,52.33
2016-04-21,45.35
2016-04-22,45.93
2016-04-23,39.53
2016-04-24,45.35
2016-04-25,62.79
2016-04-26,61.05
2016-04-27,54.07
2016-04-28,40.12
2016-04-29,38.95
2016-04-30,38.37
2016-05-01,54.07
2016-05-02,70.93
2016-05-03,86.63
2016-05-04,70.93
2016-05-05,73.26
2016-05-06,61.05
2016-05-07,40.7
2016-05-08,53.49
2016-05-09,73.84
2016-05-10,62.79
2016-05-11,78.49
2016-05-12,70.93
2016-05-13,58.14
2016-05-14,53.49
2016-05-15,58.14
2016-05-16,76.74
2016-05-17,64.53
2016-05-18,77.33
2016-05-19,63.95
2016-05-20,58.14
2016-05-21,44.19
2016-05-22,55.81
2016-05-23,74.42
2016-05-24,73.26
2016-05-25,77.91
2016-05-26,46.51
2016-05-27,38.37
2016-05-28,55.81
2016-05-29,53.49
2016-05-30,54.07
2016-05-31,71.51
2016-06-01,67.44
2016-06-02,64.53
2016-06-03,43.6
2016-06-04,36.63
2016-06-05,48.84
2016-06-06,70.35
2016-06-07,63.95
2016-06-08,60.47
2016-06-09,54.65
2016-06-10,38.37
2016-06-11,36.63
2016-06-12,40.12
2016-06-13,37.79
2016-06-14,52.33
2016-06-15,34.88
2016-06-16,33.72
2016-06-17,30.23
2016-06-18,21.51
2016-06-19,36.05
2016-06-20,43.6
2016-06-21,51.16
2016-06-22,41.28
2016-06-23,39.53
2016-06-24,25.0
2016-06-25,29.65
2016-06-26,33.72
2016-06-27,33.72
2016-06-28,37.21
2016-06-29,30.23
2016-07-01,27.33
2016-07-02,30.23
2016-07-03,32.56
2016-07-04,40.7
2016-07-05,39.53
2016-07-06,33.72
2016-07-07,41.28
2016-07-08,25.58
2016-07-09,26.74
2016-07-10,27.33
2016-07-11,26.16
2016-07-12,25.0
2016-07-13,25.0
2016-07-14,27.33
2016-07-15,22.09
2016-07-16,20.35
2016-07-17,25.58
2016-07-18,35.47
2016-07-19,40.7
2016-07-20,36.63
2016-07-21,41.86
2016-07-22,31.98
2016-07-23,38.37
2016-07-24,26.16
2016-07-25,23.84
2016-07-26,26.74
2016-07-27,26.16
2016-07-28,27.33
2016-07-29,26.16
2016-07-30,19.19
2016-07-31,25.58
2016-08-01,39.53
2016-08-02,31.4
2016-08-03,27.33
2016-08-04,29.07
2016-08-05,34.3
2016-08-06,17.44
2016-08-07,29.07
2016-08-08,27.91
2016-08-09,37.21
2016-08-10,44.19
2016-08-11,40.7
2016-08-12,36.05
2016-08-13,19.77
2016-08-14,30.23
2016-08-15,36.63
2016-08-16,52.91
2016-08-17,45.35
2016-08-18,52.91
2016-08-19,48.26
2016-08-20,23.26
2016-08-21,34.3
2016-08-22,37.21
2016-08-23,44.77
2016-08-24,41.28
2016-08-25,48.26
2016-08-26,33.14
2016-08-27,29.07
2016-08-28,36.63
2016-08-29,37.21
2016-08-30,39.53
2016-08-31,44.19
2016-09-01,36.63
2016-09-02,30.81
2016-09-03,23.84
2016-09-04,37.79
2016-09-05,47.67
2016-09-06,63.95
2016-09-07,58.72
2016-09-08,52.91
2016-09-09,33.14
2016-09-10,30.23
2016-09-11,40.12
2016-09-12,50.58
2016-09-13,50.0
2016-09-14,56.4
2016-09-15,48.26
2016-09-16,42.44
2016-09-17,27.91
2016-09-18,47.09
2016-09-19,59.3
2016-09-20,65.7
2016-09-21,69.77
2016-09-22,67.44
2016-09-23,51.16
2016-09-24,38.95
2016-09-25,50.0
2016-09-26,59.3
2016-09-27,62.79
2016-09-28,59.3
2016-09-29,66.28
2016-09-30,35.47
2016-10-01,33.72
2016-10-02,51.16
2016-10-03,60.47
2016-10-04,63.95
2016-10-05,72.09
2016-10-06,67.44
2016-10-07,48.26
2016-10-08,36.05
