,ASYS,CCGI,GE,PCRFY,TSLA,Volume,ElonMusk
1257,7.08,1.39,19.32,7.29,32.47,1157969.0,0.0
1256,7.33,1.21,19.25,7.15,30.19,3097180.0,32.0
1255,6.96,1.37,18.91,7.29,30.06,1928123.0,33.0
1254,6.8,1.37,19.09,7.21,32.96,5556301.0,100.0
1253,5.4,1.47,19.01,7.05,32.25,1221005.0,0.0
1252,5.11,1.4,18.6,7.07,30.06,1380742.0,52.0
1251,4.79,1.3,18.4,6.83,29.43,1585532.0,50.0
1250,4.6,1.3,19.0,6.66,29.18,1256184.0,49.0
1249,4.46,1.1,18.88,6.87,28.57,1148918.0,32.0
1248,4.11,1.35,18.95,6.7,27.56,1616487.0,33.0
1247,4.16,1.25,19.12,6.76,28.77,1475170.0,0.0
1246,4.24,1.12,19.18,6.74,30.79,2366170.0,40.0
1245,4.41,1.12,19.18,6.57,31.02,1220349.0,34.0
1244,4.32,1.12,19.25,6.68,30.32,1075520.0,33.0
1243,4.35,1.15,19.2,6.49,29.81,757009.0,65.0
1242,4.36,1.02,19.35,6.71,31.69,1647379.0,30.0
1241,4.4,0.95,19.04,6.45,30.41,1307141.0,30.0
1240,4.52,1.08,19.09,6.55,29.5,1118365.0,36.0
1239,4.71,1.0,18.54,6.32,28.15,885710.0,36.0
1238,4.51,1.12,18.15,6.37,27.88,1030834.0,61.0
1237,4.54,1.15,18.24,6.48,27.91,630885.0,30.0
1236,4.89,1.15,18.88,6.78,29.22,909808.0,59.0
1235,4.5,1.15,19.0,6.86,28.93,492015.0,29.0
1234,4.58,1.25,19.2,6.78,30.08,879409.0,58.0
1233,4.38,1.1,19.11,6.9,29.12,635317.0,35.0
1232,4.54,1.12,19.48,7.02,29.66,568994.0,35.0
1231,4.54,1.12,19.37,6.84,29.77,844371.0,63.0
1230,4.61,1.12,19.72,7.06,29.39,872161.0,30.0
1229,4.38,1.02,20.0,7.26,29.91,646594.0,30.0
1228,4.22,1.03,19.75,7.35,31.84,1256796.0,30.0
1227,4.19,1.02,20.0,7.46,32.09,910829.0,59.0
1226,4.35,1.0,20.1,7.6,33.78,3422342.0,35.0
1225,4.22,1.0,19.53,7.55,32.19,1889095.0,53.0
1224,4.28,1.1,19.81,7.8,33.785,3009780.0,32.0
1223,4.16,0.95,19.52,7.76,33.11,1495174.0,82.0
